Event Description,Year,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Respondent,Geographic Areas,NERC Region,Demand Loss (MW),Number of Customers Affected,Tags
Severe Weather,2006,4/21/2006,7:00 a.m.,4/21/2006,10:00 a.m.,CenterPoint Energy,System-wide greater Houston metro area,ERCOT,219,82000,severe weather
Load Shed/Declared EECP,2006,4/17/2006,3:25 p.m.,4/17/2006,7:30 p.m.,Electric Reliability Council of Texas,ERCOT Region of Texas,ERCOT,1000,200000,load shedding
Load Shed/ Declared EECP,2006,4/17/2006,4:11 p.m.,4/17/2006,7:20 p.m.,TXU Electric Delivery Company,North and East Texas,ERCOT,380,489478,load shedding
Load Shed/Made Public Appeals/Rolling Blackouts,2006,4/17/2006,4:20 p.m.,4/17/2006,6:30 p.m.,Austin Energy,State of Texas (all of Austin Energy),ERCOT,37- 40,"8,000 -10,000","load shedding, public appeal"
Load Shed/Made Public Appeals/Rolling Blackouts,2006,4/17/2006,4:10 p.m.,4/17/2006,6:11 p.m.,CenterPoint Energy,System-wide greater Houston metro area (and across ERCOT),ERCOT,260,68000,"load shedding, public appeal"
Load Shed/Declared EECP,2006,4/17/2006,4:35 p.m.,4/17/2006,6:10 p.m.,American Electric Power,AEP Texas Central/Texas North,ERCOT,108,51404,load shedding
Severe Weather/ Tornadoes,2006,4/8/2006,4:00 a.m.,4/8/2006,11:00 a.m.,Southern Company,North and Central Alabama and Northern Georgia areas,SERC,300,115589,"severe weather, tornado"
Voltage Reduction/Load Shed,2006,4/7/2006,8:43 a.m.,4/7/2006,9:29 a.m.,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,116,54700,"voltage reduction, load shedding"
Major Storms/Tornadoes,2006,4/2/2006,9:00 p.m.,4/5/2006,4:25 a.m.,Cinergy PSI,Southern half of Indiana,RFC,1000,186000,"severe weather, tornado, storm"
Severe Weather,2006,3/12/2006,8:30 p.m.,3/14/2006,12:00 p.m.,"City Water Light and Power (Springfield, Illinois)","Springfield, Illinois and vicinity",RFC,200,65400,severe weather
Severe Weather,2006,3/9/2006,2:00 p.m.,3/9/2006,10:00 p.m.,Entergy Service Inc.,"Arkansas, Mississippi, Louisiana, Southeast Texas",SERC,N/A,73000,severe weather
Severe Winter Storm,2006,2/27/2006,6:25 p.m.,3/1/2006,2:30 p.m.,Pacific Gas and Electric Company,Northern and Central California,WECC,-,160000,"severe weather, winter storm"
Inadequate Electric Resources to Serve Load,2006,2/18/2006,8:50 a.m.,2/18/2006,4:09 p.m.,Public Service Company of Colorado,Colorado,WECC,428,-,load shedding
Severe Weather,2006,2/17/2006,4:32 a.m.,2/17/2006,12:00 p.m.,National Grid - NY  (Niagara Mohawk Power Corp),Upstate New York,NPCC,250,200000,severe weather
Fuel Supply - Deficiency Coal Rail Transportation Interruption,2006,2/16/2006,Ongoing,Ongoing,Ongoing,Missouri Basin Power District,North Dakota,MRO,1650,0,"fuel supply emergency, coal"
Severe Thunderstorm/ Snow/Ice Storm,2006,2/16/2006,12:00 p.m.,2/20/2006,11:00 p.m.,Consumers Energy,"Muskegon, Michigan easterly to Bay City, Michigan",RFC,100,252089,"severe weather, winter storm"
Winter Snow/Ice Storm,2006,2/12/2006,2:00 a.m.,2/13/2006,7:00 a.m.,Delmarva Power,Entire Delmarva Power service territory,RFC,50,58000,"severe weather, winter storm"
Major Snow Storm,2006,2/12/2006,12:06 a.m.,2/14/2006,5:44 p.m.,Potomac Electric Power Company,"Washington DC, Montgomery and Prince Georges Counties MD",RFC,300,60000,"severe weather, winter storm"
Winter Snow/Ice Storm,2006,2/12/2006,2:00 a.m.,2/14/2006,4:00 p.m.,Atlantic City Electric,Entire Atlantic City Electric territory Southern New Jersey,RFC,80,130000,"severe weather, winter storm"
Severe Snow Storm,2006,2/12/2006,5:55 a.m.,2/12/2006,2:00 p.m.,Dominion - Virginia Power,Northern and Northwestern Virginia,RFC,250,126000,"severe weather, winter storm"
Major Snow Storm,2006,2/11/2006,9:00 p.m.,2/14/2006,11:00 p.m.,Baltimore Gas and Electric,Baltimore Metropolitan and Central Maryland,RFC,500,180000,"severe weather, winter storm"
Severe Windstorm,2006,2/4/2006,4:30 a.m.,2/8/2006,8:00  a.m.,Puget Sound Energy,Western Washington,WECC,--,140000,"severe weather, wind"
Strong Winds,2006,2/4/2006,1:34 a.m.,2/6/2006,12:01 a.m.,Snohomish County PUD #1,"Snohomish County, Washington",WECC,150,123827,"severe weather, wind"
Severe Storm,2006,1/18/2006,3:16 p.m.,1/18/2006,6:34 p.m.,Central Maine Power Company,Southern and Central Maine,NPCC,75,63000,"severe weather, storm"
High Winds,2006,1/14/2006,3:45 p.m.,1/16/2006,5:30 p.m.,PECO Energy,"Chester, Montgomery, Delaware, Philadelphia and Bucks Counties, Pennsylvania",RFC,--,142315,"severe weather, wind"
Severe Storms,2005,12/31/2005,6:00 a.m.,1/5/2006,9:00 a.m.,Pacific Gas and Electric,Northern and Central California,WECC,800,"1,667,316","severe weather, storm"
Ice Storm,2005,12/15/2005,4:00 a.m.,12/21/2005,5:00 p.m.,Duke Energy Company/Duke Power Control Area,Piedmont North Carolina and South Carolina,SERC,3500,683000,"severe weather, winter storm"
Ice Storm,2005,12/15/2005,5:05 a.m.,12/16/2005,12:10  p.m.,Southern Company,Northeast Georgia,SERC,75,52659,"severe weather, winter storm"
Severe Thunderstorms,2005,11/12/2005,4:00 p.m.,11/14/2005,6:00 p.m.,We Energies,Southeast Wisconsin,MAIN,10,48000,"severe weather, thunderstorm"
Severe Thunderstorm,2005,11/12/2005,11:00 p.m.,11/14/2005,11:59 p.m.,Consumers Energy,Western and Central portions of Michigan's Lower Peninsula,ECAR,408,272355,"severe weather, thunderstorm"
Severe Thunderstorm,2005,11/6/2005,7:30 a.m.,11/11/2005,11:30  p.m.,DTE Energy,Southeast Michigan,ECAR,212,118000,"severe weather, thunderstorm"
Plant Tripped,2005,11/3/2005,6:47 p.m.,11/3/2005,7:00 p.m.,Crockett Cogeneration,"San Francisco Bay area, California",WECC,136,--,equipment failure
Hurricane Wilma,2005,10/24/2005,8:00 p.m.,11/2/2005,4:30 p.m.,Allegheny Power,"Maryland, North Central West Virginia, Southwestern Pennsylvania, and Northern Pennsylvania",MAAC,400,303795,"severe weather, hurricane/tropical storm"
Hurricane Wilma,2005,10/24/2005,4:00 a.m.,10/24/2005,4:00 p.m.,Seminole Electric Cooperative,"Florida counties of Collier, Charlotte and Lee",FRCC,280,105000,"severe weather, hurricane/tropical storm"
Hurricane Wilma,2005,10/24/2005,7:00 a.m.,11/10/2005,12:00 a.m.,Florida Municipal Power Agency,"South Florida - Cities of Key West, Clewiston, Lake Worth, and Ft. Pierce",FRCC,148,84900,"severe weather, hurricane/tropical storm"
Hurricane Wilma,2005,10/23/2005,8:00 p.m..,10/24/2005,2:00 p.m.,Florida Power and Light,"South Florida, Naples, Ft. Myers, Miami, Ft. Lauderdale, West Palm Beach and Martin county",FRCC,10000,"3,241,437","severe weather, hurricane/tropical storm"
Voltage Reduction/Load Shed,2005,10/22/2005,9:44 a.m.,10/22/2005,11:40 a.m.,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,360,85682,"voltage reduction, load shedding"
Voltage Reduction/Load Shed,2005,10/18/2005,3:19 p.m.,10/18/2005,3: 37 p.m.,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,460,142591,"voltage reduction, load shedding"
Voltage Reduction/Load Shed,2005,10/2/2005,5:40 p.m.,10/2/2005,5:54 p.m.,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,312,71240,"voltage reduction, load shedding"
Hurricane Rita,2005,9/24/2005,10:00 a.m.,9/28/2005,6:00 p.m.,American Electric Power - CSWS,"Shreveport, Louisiana",ECAR,700,190000,"severe weather, hurricane/tropical storm"
Hurricane Rita,2005,9/24/2005,6:00 a.m.,10/2/2005,5:00 p.m.,TXU Electric Delivery Company,"Nacogdoches, Lufkin, Tyler, Jacksonville, Rusk, Paris, Commerce, Huntington",ERCOT,260,200000,"severe weather, hurricane/tropical storm"
Hurricane Rita,2005,9/23/2005,5:00 p.m.,9/24/2005,8:00 p.m.,CenterPoint Energy Houston Electric,"Houston, Texas and the surrounding suburban areas",ERCOT,1950,715000,"severe weather, hurricane/tropical storm"
Hurricane Rita,2005,9/23/2005,9:00 p.m.,9/25/2005,7:30 a.m.,Entergy Corporation,"Texas, Louisiana, Arkansas, and Mississippi",SPP,N/A,766000,"severe weather, hurricane/tropical storm"
Hurricane Rita,2005,9/23/2005,1:06 p.m.,10/6/2005,2:30 p.m.,Louisiana Generating,West and Southwest Louisiana,SPP,350,125000,"severe weather, hurricane/tropical storm"
Hurricane Rita  disrupted normal gas allotment through natural gas pipelines (FGT & Gulf stream). Public Appeals for conservation were issued.,2005,9/23/2005,7:00 a.m.,9/28/2005,11:29 a.m.,City of Lakeland,"Lakeland, Florida",FRCC,0,0,"severe weather, hurricane/tropical storm, fuel supply emergency, public appeal"
Hurricane Rita disrupted fuel supply in the Gulf of Mexico. Public Appeals for conservation were issued.,2005,9/22/2005,12:00 p.m.,9/29/2005,12:00 p.m.,Progress Energy Florida,"Counties of Alachua, Bay, Citrus, Columbia, Dixie, Franklin, Gilchrist, Gulf, Hamilton, Hardee, Hernando, Highlands, Jefferson, Lafayette, Lake, Levy, Madison, Marion, Orange, Osceola, Pasco, Pinellas, Polk, Seminole, Sumter, Suwannee, Taylor, Volusia and Wakulla",FRCC,0,0,"severe weather, hurricane/tropical storm, fuel supply emergency, public appeal"
Severe Thunderstorm,2005,9/22/2005,11:00 a.m.,9/26/2005,11:30 p.m.,DTE Energy,Southeast Michigan,ECAR,366,53000,"severe weather, thunderstorm"
High Winds/Tornados,2005,9/21/2005,7:00 p.m.,9/27/2005,11:00 p.m.,Xcel Energy - Northern States  Power,Minnesota,MRO,N/A,200000,"severe weather, tornado"
Hurricane Ophelia,2005,9/14/2005,3:00 p.m.,9/15/2005,3:00 p.m.,Progress Energy - Carolinas,Eastern North Carolina,SERC,215,60000,"severe weather, hurricane/tropical storm"
Severe Storm,2005,9/13/2005,6:30 p.m.,9/16/2005,8:00 p.m.,We Energies,Southeast Wisconsin and Fox Valley,MAIN,600,110000,"severe weather, storm"
Voltage Reduction/Load Shed,2005,9/13/2005,2:14 p.m.,9/13/2005,2:29 p.m.,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,249,66480,"voltage reduction, load shedding"
Breaker protection cable accidentally cut,2005,9/12/2005,12:32 p.m.,9/12/2005,1:56 p.m.,Los Angeles Department of Water and Power,"Los Angeles, California",WECC,2578,900000,equipment failure
Hurricane Katrina disrupted normal gas supplies distribution. Public appeals for conservation were issued.,2005,8/31/2005,4:00 p.m.,9/12/2005,8:00 a.m.,Seminole Electric Cooperative,Member Service Territory is located in the West coast of Florida from Tallahassee to Fort Myers,FRCC,0,0,"severe weather, hurricane/tropical storm, fuel supply emergency, public appeal"
Hurricane Katrina,2005,8/29/2005,6:00 a.m.,8/30/2005,6:00 a.m.,Entergy Corporation,"Buras, Louisiana",SPP,N/A,"1.1 million and 100,000 gas customers","severe weather, hurricane/tropical storm"
Hurricane Katrina disrupted fuel supply in the Gulf of Mexico. Public appeals for conservation were issued.,2005,8/29/2005,7:10 a.m.,9/7/2005,3:00 p.m.,Progress Energy Florida,"Counties of Alachua, Bay, Citrus, Columbia, Dixie, Franklin, Gilchrist, Gulf, Hamilton, Hardee, Hernando, Highlands, Jefferson, Lafayette, Lake, Levy, Madison, Marion, Orange, Osceola, Pasco, Pinellas, Polk, Seminole, Sumter, Suwannee, Taylor, Volusia and Wakulla",FRCC,0,0,"severe weather, hurricane/tropical storm, fuel supply emergency"
Hurricane Katrina,2005,8/29/2005,1:10 a.m.,8/29/2005,12:42 p.m.,Louisiana Generating,East and Southeast Louisiana,SPP,300,143000,"severe weather, hurricane/tropical storm"
Hurricane Katrina  disrupted normal gas allotment through natural gas pipelines (FGT & Gulf stream). Public appeals for conservation were issued.,2005,8/29/2005,5:00 p.m.,9/8/2005,12:01 a.m.,City of Lakeland,"City of Lakeland, Florida",FRCC,0,0,"severe weather, hurricane/tropical storm, fuel supply emergency, public appeal"
Hurricane Katrina,2005,8/29/2005,3:50 p.m.,9/10/2005,12:00 p.m.,Tennessee Valley Authority,"Alabama, Mississippi,  Tennessee",SERC,118.5,323529,"severe weather, hurricane/tropical storm"
Hurricane Katrina,2005,8/29/2005,7:10 a.m.,8/29/2005,10:00 p.m.,Southern Company,"Alabama, Florida, Mississippi",SERC,5120,512049,"severe weather, hurricane/tropical storm"
CAISO initiated interruption of  interruptible and firm load due to declaration of  Transmission Emergency in Southern California,2005,8/25/2005,3:51 p.m.,8/25/2005,8:00 p.m.,Southern California Edison Company,Southern California,WECC,864,409000,"load shedding, transmission interruption"
CAISO determined there was  inadequate electric resources to serve load.  Public appeals and a shedding of interruptible and firm load occurred.,2005,8/25/2005,3:50 p.m.,8/25/2005,8:00 p.m.,California ISO,Southern California,WECC,-,-,"load shedding, public appeal"
Severe Thunderstorms,2005,8/20/2005,2:15 p.m.,8/20/2005,4:21 p.m.,American Electric Power -AEP West,Northwest Arkansas,ECAR,650,50797,"severe weather, thunderstorm"
Voltage Reduction/Load Shed,2005,8/19/2005,7:37 p.m.,8/19/2005,8:15 p.m.,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,259,71864,"voltage reduction, load shedding"
Plant Tripped,2005,8/8/2005,12:38 p.m.,8/8/2005,4:00 p.m.,Crockett Cogeneration,"San Francisco Bay area, California",WECC,240,PG&E,equipment failure
Voltage Reduction/Load Shed,2005,8/1/2005,10:28 a.m.,8/1/2005,10:47 a.m.,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,175,47116,"voltage reduction, load shedding"
Severe Thunderstorm,2005,7/28/2005,8:30 p.m.,8/1/2005,5:00 p.m.,Duke Energy Company/Duke Power Control Area,Piedmont North and South Carolina,SERC,300,52200,"severe weather, thunderstorm"
Severe Thunderstorms,2005,7/27/2005,4:50 p.m,7/28/2005,9:24 p.m.,PECO Energy,"Bucks, Chester, Delaware, Montgomery and Philadelphia counties, Pennsylvania",MAAC,N/A,93837,"severe weather, thunderstorm"
Severe Thunderstorm,2005,7/27/2005,5:50 p.m.,7/30/2005,9:07 p.m.,Potomac Electric Power Company (Pepco),"Washington, DC, Montgomery and Prince Georges Counties, Maryland",MAAC,N/A,64943,"severe weather, thunderstorm"
Severe Thunderstorms,2005,7/27/2005,6:00 p.m.,7/29/2005,4:00 p.m.,Baltimore Gas and Electric Company,"Baltimore County, Anne Arundel County and Prince Georges County, Maryland",MAAC,N/A,87600,"severe weather, thunderstorm"
Severe Thunderstorms,2005,7/23/2005,1:02 a.m.,7/26/2005,10:50 a.m.,Potomac Electric Power Company (Pepco),"Washington, DC, Montgomery and Prince Georges Counties, Maryland",MAAC,N/A,55118,"severe weather, thunderstorm"
CA ISO Stage 2 -Initiated interruption of Air Conditioner Cycling Interruptible Load Program,2005,7/22/2005,1:55 p.m.,7/22/2005,6:00 p.m.,Southern California Edison Company,Southern California,WECC,206,133900,load shedding
CA ISO  Stage 2 -Initiated interruption of Air Conditioner Cycling Interruptible Load Program,2005,7/21/2005,2:39 p.m.,7/21/2005,5:30 p.m.,Southern California Edison Company,Southern California,WECC,197,128050,load shedding
Hurricane Dennis,2005,7/10/2005,8:00 a.m.,7/12/2005,8:00 a.m.,Southern Company,"Alabama, Mississippi, Florida, Georgia",SERC,45,228102,"severe weather, hurricane/tropical storm"
Hurricane Dennis,2005,7/10/2005,12:53 p.m.,7/11/2005,5:33 PM,Alabama Electric Coop Inc.,Southwest Alabama and Western Panhandle of Florida,SERC,51.2,50000,"severe weather, hurricane/tropical storm"
Tropical Storm Cindy,2005,7/5/2005,9:00 p.m.,7/6/2005,9:00 a.m.,Entergy Corporation,"Southeast and Northeast, Louisiana including the New Orleans area",SPP,unknown,287000,"severe weather, hurricane/tropical storm"
Load Shedding,2005,7/2/2005,1:27 a.m.,7/2/2005,1:46 a.m.,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,226,132290,load shedding
Fuel Supply - Deficiency Coal Rail Transporation Interruption,2005,7/1/2005,N/A,Ongoing,Ongoing,Southwestern Public Service Company,"Texas, New Mexico, Oklahoma, Kansas",ERCOT,0,0,"fuel supply emergency, coal"
Strong Thunderstorm/High Winds,2005,6/29/2005,4:30 p.m.,7/4/2005,11:30 p.m.,DTE Energy,Southeast  Michigan,ECAR,1000,114711,"severe weather, thunderstorm"
Fuel Supply Deficiency/Coal Rail Transportation Interruption,2005,6/28/2005,11:30 a.m.,Ongoing,Ongoing,Public Service Company of Colorado,Denver Metropolitan area of Colorado,WECC,0,0,"fuel supply emergency, coal"
Transmission Equipment Failure,2005,6/24/2005,8:37 p.m.,6/24/2005,11:06 p.m.,Commonwealth Edison Company,"Chicago, Illinois",MAIN,350,51500,"equipment failure, transmission interruption"
Voltage Reduction,2005,6/20/2005,11:16 a.m.,6/20/2005,5:15 PM,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,35,600000,voltage reduction
Strong Thunderstorm,2005,6/8/2005,4:00 a.m.,6/10/2005,10:00 p.m.,Xcel Energy - Northern States Power,Minnesota,MRO,50-100,300000,"severe weather, thunderstorm"
Strong Thunderstorms,2005,6/6/2005,12:00 p.m.,6/8/2005,6:00 p.m.,New York  State Electric and Gas,Central/Eastern New York state,NPCC,N/A,65000,"severe weather, thunderstorm"
Strong Thunderstorm,2005,6/6/2005,4:43  p.m.,6/7/2005,10:00 p.m.,PECO Energy,"Bucks, Montgomery, Delaware, Chester, Philadelphia counties, Pennsylvania",MAAC,N/A,143000,"severe weather, thunderstorm"
Strong Thunderstorm/High Winds,2005,6/5/2005,2:00 p.m.,6/10/2005,7:30 a.m.,DTE Energy,Southeast  Michigan,ECAR,1826,201580,"severe weather, thunderstorm"
Strong Thunderstorm,2005,6/5/2005,2:00 p.m.,6/7/2005,6:00 p.m.,Consumers Energy,Portions of  the southern 2/3 of  Michigan's Lower Peninsula,ECAR,50-60,105000,"severe weather, thunderstorm"
Strong Thunderstorms,2005,5/29/2005,8:00 p.m.,5/30/2005,2:30 a.m.,CenterPoint Energy Houston Electric,"Houston, Texas and surrounding suburban areas",ERCOT,328,123000,"severe weather, thunderstorm"
Voltage Reduction,2005,5/11/2005,7:00 p.m.,5/11/2005,8:31 p.m.,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,529,N/A,voltage reduction
Strong Thunderstorms,2005,5/8/2005,3:00 p.m.,5/8/2005,10:00 p.m.,CenterPoint Energy Houston Electric,"Houston, Texas and surrounding suburban areas",ERCOT,672,243000,"severe weather, thunderstorm"
Thunderstorms,2005,4/30/2005,8:00 a.m.,4/30/2005,10:00 a.m.,Southern Company,Alabama and Georgia,SERC,100,51808,"severe weather, thunderstorm"
Winter Storm,2005,4/23/2005,6:00 a.m,4/27/2005,6:00 a.m.,Cleveland Electric Illuminating Company/First Energy Corporation,"Cleveland, Ohio and northeast Ohio",ECAR,N/A,150000,"severe weather, winter storm"
Voltage Reduction,2005,4/23/2005,4:22 a.m.,4/23/2005,4:48 a.m.,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,345,116552,voltage reduction
Lightning Strike,2005,4/22/2005,3:51 p.m.,4/22/2005,3:59 p.m.,Crockett Cogeneration,"San Francisco Bay area, California",WECC,126,PG&E,"severe weather, thunderstorm"
Winter Storm,2005,4/1/2005,Midnight,4/6/2005,12:00 p.m.,Cleveland Electric Illuminating Company/First Energy Corporation,"Cleveland, Ohio and northeast Ohio",ECAR,N/A,211000,"severe weather, winter storm"
Wind Storms,2005,3/8/2005,11:00 a.m.,3/8/2005,3:00 p.m.,Progress Energy - Carolinas,Eastern and Central North Carolina,SERC,180,51600,"severe weather, wind"
Voltage Reduction,2005,2/24/2005,12:58 a.m.,2/24/2005,1:05 a.m.,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,200,N/A,voltage reduction
Generator Loss/Voltage Reduction,2005,2/18/2005,8:16 a.m.,2/18/2005,8:41 a.m.,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,648,372288,"equipment failure, voltage reduction"
Load Shedding,2005,2/16/2005,1:26 p.m.,2/16/2005,1:43 p.m.,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,325,139438,load shedding
Generator Loss,2005,2/15/2005,1:12 p.m.,2/15/2005,1:30 p.m.,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,380,N/A,equipment failure
Voltage Reduction,2005,2/1/2005,5:78 p.m.,2/1/2005,6:01 p.m.,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,460,N/A,voltage reduction
Ice Storm,2005,1/29/2005,4:00 p.m.,1/30/2005,3:00 p.m.,Georgia System Operations Corporation (GSOC),Georgia,SERC,65 to 100,82000,"severe weather, winter storm"
Ice Storm,2005,1/29/2005,10:00 a.m.,1/31/2005,10:00 a.m,Southern Company,Parts of Alabama and Georgia,SERC,100,150000,"severe weather, winter storm"
Voltage Reduction/Shed Load,2005,1/24/2005,6:38 a.m.,1/24/2005,6:50 a.m.,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,225,70717,"load shedding, voltage reduction"
Voltage Reduction/Shed Load,2005,1/24/2005,12:27 p.m.,1/24/2005,12:34 p.m.,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,385,N/A,"load shedding, voltage reduction"
Voltage Reduction,2005,1/23/2005,10:42 a.m.,1/23/2005,11:24 a.m.,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,140,N/A,voltage reduction
Voltage Reduction,2005,1/19/2005,9:17 a.m.,1/19/2005,9:27 a.m.,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,209,N/A,voltage reduction
Winter Storm,2005,1/7/2005,1:00 p.m.,1/10/2005,8:00 a.m.,Pacific Gas and Electric Company,Northern California,WECC,120,442000,"severe weather, winter storm"
Ice Storm,2005,1/5/2005,4:00 p.m.,1/13/2005,6:00 p.m.,Ohio Edison/First Energy,Akron and Mansfield areas,ECAR,250,246990,"severe weather, winter storm"
Winter Ice Storm,2005,1/5/2005,9:10 p.m.,1/16/2005,11:00 a.m.,American Electric Power,Indiana Michigan Region - Muncie District,ECAR,545,114791,"severe weather, winter storm"
Winter Storm,2005,1/4/2005,6:00 p.m.,1/14/2005,12:00 p.m.,Westar Energy,Eastern one third of the state of Kansas,SPP,200,211000,"severe weather, winter storm"
Severe Weather/Line Relayed,2004,12/27/2004,7:50 a.m.,12/27/2004,10:50 a.m.,Pacific Gas and Electric  Company,"Salinas, California and surrounding communities",WECC,100,95000,severe weather
Major Freezing Rain and Ice Storm,2004,12/23/2004,3:37 a.m.,12/31/2004,11:00 p.m.,American Electric Power,Columbus District,ECAR,800,359171,"severe weather, winter storm"
High Winds,2004,12/1/2004,10:00 a.m.,12/2/2004,11:59 p.m.,Baltimore Gas & Electric Company,"Central Maryland (Baltimore City, Baltimore County, Anne Arundel County, Hartford County, Montgomery County, Calvert County, Prince George's County, Carroll County and Howard County)",MAAC,270,122000,"severe weather, wind"
Heavy Rain and Wind Storm,2004,12/1/2004,7:30 a.m.,12/2/2004,10:09 p.m.,Exelon (PECO Energy),"Bucks, Chester, Delaware, Montgomery, and Philadelphia Counties, Pennsylvania",MAAC,-,105312,"severe weather, storm"
Strong Thunderstorms,2004,11/24/2004,10:00 a.m.,11/24/2004,4:00 p.m.,Southern Company,Georgia,SERC,100,83450,"severe weather, thunderstorm"
Strong Thunderstorms,2004,11/23/2004,10:00 p.m.,11/24/2004,1:00 a.m.,CenterPoint Energy,"Houston, Texas and surrounding suburban areas",ERCOT,150,119000,"severe weather, thunderstorm"
"Heavy Snow, High Winds and Rain/Major Distribution System Interruption",2004,11/14/2004,4:55 a.m.,11/15/2004,1:31 a.m.,ISO New England ( For New Brunswick Electric Power Coordination of joint Reliability Coordinators and Control Area Functions),Nova Scotia,NPCC,165,165000,"severe weather, winter storm"
Fuel Supply Deficiency - Williams Company: Event for Trans Continental Gas Pipeline,2004,11/9/2004,2:15 p.m.,11/12/2004,1:07p.m.,Keyspan Energy,"Sayreville, New Jersey Long Island, New York",NPCC,0,0,"fuel supply emergency, natural gas"
Severe Storm with High Wind Gusts,2004,10/30/2004,10:00 a.m.,11/1/2004,6:00 p.m.,Consumers Energy,"Lower peninsula of Michigan. following area:  Grand Rapids, Kalamazoo, Battle Creek, Greenville, Jackson,  Flint, Lansing, Allegan, Temperance",ECAR,60,122000,"severe weather, wind"
High Wind Gusts,2004,10/30/2004,12:30  p.m.,11/3/2004,1:50 p.m.,DTE Energy,Southeastern Michigan,ECAR,700,159870,"severe weather, wind"
Major Transmission Distribution System Interruption,2004,10/28/2004,3:27 p.m.,10/28/2004,6:08 p.m.,Pacific Gas and Electric  Company,"San  Jose, California",WECC,103,59458,transmission interruption
Public Appeal/Breaker Failure and Fire,2004,10/25/2004,11:00 a.m.,10/26/2004,10:00 a.m.,Entergy Transmission,Southeastern Louisiana in the New Orleans area,SPP,-,-,"wild fire, public appeal"
Severe Storm with High Wind Gusts,2004,10/18/2004,10:30 p.m.,10/20/2004,9:00 a.m.,Pacific Gas and Electric  Company,Northern California,WECC,140,407440,"severe weather, wind"
Breaker Failure,2004,10/10/2004,5:09 p.m.,10/11/2004,7:57 p.m.,Puerto Rico Electric Power Authority,Island Wide,PR,All,All,equipment failure
Switch Error Concerning Breakers,2004,9/27/2004,4:06 p.m.,9/27/2004,4:12 p.m.,ISO New England ( For New Brunswick Electric Power Coordination of joint Reliability Coordinators and Control Area Functions),Nova Scotia,NPCC,-,-,equipment failure
Hurricane Jeanne,2004,9/27/2004,8:00 a.m.,9/27/2004,2:00 p.m.,Southern Company,Georgia,SERC,854,85455,"severe weather, hurricane/tropical storm"
Hurricane Jeanne,2004,9/26/2004,3:00 a.m.,9/30/2004,9:00 a.m.,Orlando Utilities Commission,"Orlando and St. Cloud, Florida",FRCC,350,110000,"severe weather, hurricane/tropical storm"
Hurricane Jeanne,2004,9/26/2004,6:00 a.m.,10/1/2004,12:00 a.m.,Progress Energy Florida,"Florida counties of Alachua, Bay, Brevard, Citrus, Columbia, Dixie, Flagler, Franklin, Gilchrist, Gulf, Hamilton, Hardee, Hernando, Highlands, Hillsborough, Jefferson, Lafayette, Lake, Leon, Levy, Madison, Marion, Orange, Osceola, Pasco, Pinellas, Polk, Seminole, Sumter, Suwannee, Taylor, Volusia and Wakulla",FRCC,1800,722000,"severe weather, hurricane/tropical storm"
Hurricane Jeanne,2004,9/26/2004,2:00 a.m.,9/27/2004,12:00 a.m.,Tampa Electric Company,"Hillsborough, Pasco, and Polk County, Florida",FRCC,1250,285300,"severe weather, hurricane/tropical storm"
Hurricane Jeanne,2004,9/25/2004,5:00 p.m.,9/26/2004,9:00 a.m.,Fort Pierce Utilities Authority,"City of Fort Pierce, Florida",FRCC,125,26000,"severe weather, hurricane/tropical storm"
Hurricane Ivan,2004,9/17/2004,4:30 a.m.,9/18/2004,12:00 p.m.,Progress Energy -Carolinas,Western North Carolina,SERC,400,112000,"severe weather, hurricane/tropical storm"
Hurricane Ivan,2004,9/16/2004,9:00 p.m.,9/20/2004,4:00 p.m.,Duke Energy Company/Duke Power Control Area,Western  North and South Carolina,SERC,500,175000,"severe weather, hurricane/tropical storm"
Hurricane Ivan,2004,9/16/2004,2:00 a.m.,9/16/2004,10:02 a.m.,Alabama Electric Cooperative,"Baldwin County, Alabama, Escambia County, Florida, Washington County, Alabama",SERC,263,75000,"severe weather, hurricane/tropical storm"
Hurricane Ivan,2004,9/15/2004,7:00 p.m.,9/17/2004,7:00 p.m.,Southern Company,"Florida, Mississippi, Alabama, Georgia",SERC,916,916316,"severe weather, hurricane/tropical storm"
